,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
269,Sacramento Kings,82,240.9,38.8,86.1,.450,9.0,24.0,.375,29.8,62.1,.479,12.3,16.7,.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20.0,98.8,2017-18
270,Milwaukee Bucks,82,241.2,43.4,91.1,.476,13.5,38.2,.353,29.9,52.9,.565,17.9,23.2,.773,9.3,40.4,49.7,26.0,7.5,5.9,13.9,19.6,118.1,2018-19
271,Golden State Warriors,82,241.5,44.0,89.8,.491,13.3,34.4,.385,30.8,55.3,.557,16.3,20.4,.801,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7,2018-19
272,New Orleans Pelicans,82,240.9,43.7,92.2,.473,10.3,29.9,.344,33.4,62.4,.536,17.8,23.4,.761,11.1,36.2,47.3,27.0,7.4,5.4,14.8,21.1,115.4,2018-19
273,Philadelphia 76ers,82,241.5,41.5,88.2,.471,10.8,30.2,.359,30.7,58.0,.529,21.2,27.5,.771,10.9,36.9,47.8,26.9,7.4,5.3,14.9,21.3,115.2,2018-19
274,Los Angeles Clippers,82,241.8,41.3,87.5,.471,10.0,25.8,.388,31.3,61.7,.507,22.6,28.5,.792,9.7,35.8,45.5,24.0,6.8,4.7,14.5,23.3,115.1,2018-19
275,Portland Trail Blazers,82,242.1,42.3,90.6,.467,11.0,30.7,.359,31.3,59.8,.523,19.0,23.3,.814,11.8,36.2,48.0,23.0,6.7,5.0,13.8,20.4,114.7,2018-19
276,Oklahoma City Thunder,82,242.1,42.6,94.0,.454,11.4,32.6,.348,31.3,61.3,.510,17.8,25.0,.713,12.6,35.5,48.1,23.4,9.3,5.2,14.0,22.4,114.5,2018-19
277,Toronto Raptors,82,242.4,42.2,89.1,.474,12.4,33.8,.366,29.8,55.3,.539,17.7,22.0,.804,9.6,35.6,45.2,25.4,8.3,5.3,14.0,21.0,114.4,2018-19
278,Sacramento Kings,82,240.6,43.2,93.1,.464,11.3,29.9,.378,31.9,63.2,.504,16.5,22.7,.726,11.0,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2,2018-19
279,Washington Wizards,82,243.0,42.1,90.1,.468,11.3,33.3,.341,30.8,56.8,.543,18.4,23.9,.768,9.7,32.7,42.4,26.3,8.3,4.6,14.1,20.7,114.0,2018-19
280,Houston Rockets,82,241.8,39.2,87.4,.449,16.1,45.4,.356,23.1,42.0,.551,19.3,24.4,.791,10.2,31.9,42.1,21.2,8.5,4.9,13.3,22.0,113.9,2018-19
281,Atlanta Hawks,82,242.1,41.4,91.8,.451,13.0,37.0,.352,28.4,54.8,.518,17.6,23.4,.752,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,113.3,2018-19
282,Minnesota Timberwolves,82,241.8,41.6,91.3,.456,10.1,28.7,.351,31.5,62.5,.504,19.1,24.3,.787,11.3,33.5,44.8,24.6,8.3,5.0,13.1,20.3,112.5,2018-19
283,Boston Celtics,82,241.2,42.1,90.5,.465,12.6,34.5,.365,29.5,56.0,.527,15.6,19.5,.802,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4,2018-19
284,Brooklyn Nets,82,243.7,40.3,89.7,.449,12.8,36.2,.353,27.5,53.6,.513,19.0,25.5,.745,11.0,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2,2018-19
285,Los Angeles Lakers,82,241.2,42.6,90.5,.470,10.3,31.0,.333,32.2,59.6,.541,16.3,23.3,.699,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8,2018-19
286,San Antonio Spurs,82,241.5,42.3,88.4,.478,9.9,25.3,.392,32.4,63.1,.513,17.2,21.0,.819,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7,2018-19
287,Utah Jazz,82,240.9,40.4,86.4,.468,12.1,34.0,.356,28.3,52.4,.541,18.8,25.5,.736,10.0,36.4,46.4,26.0,8.1,5.9,15.1,21.1,111.7,2018-19
288,Denver Nuggets,82,240.6,41.9,90.0,.466,11.0,31.4,.351,30.9,58.7,.527,15.8,20.9,.755,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20.0,110.7,2018-19
289,Charlotte Hornets,82,241.8,40.2,89.8,.448,11.9,33.9,.351,28.3,55.8,.507,18.4,23.1,.797,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,110.7,2018-19
290,Dallas Mavericks,82,241.2,38.8,86.9,.447,12.5,36.6,.340,26.3,50.2,.524,18.8,25.3,.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9,2018-19
291,Indiana Pacers,82,240.3,41.3,87.0,.475,9.5,25.4,.374,31.8,61.6,.517,15.8,21.1,.752,9.3,33.7,43.0,26.0,8.7,4.9,13.7,19.4,108.0,2018-19
292,Phoenix Suns,82,242.4,40.1,87.4,.459,9.6,29.3,.329,30.5,58.1,.525,17.6,22.7,.779,9.1,31.3,40.4,23.9,9.0,5.1,15.6,23.6,107.5,2018-19
293,Orlando Magic,82,241.2,40.4,89.1,.454,11.4,32.1,.356,29.0,57.0,.509,15.0,19.2,.782,10.0,35.4,45.4,25.5,6.6,5.4,13.2,18.6,107.3,2018-19
294,Detroit Pistons,82,242.1,38.8,88.3,.440,12.1,34.8,.348,26.7,53.5,.500,17.3,23.1,.747,11.4,33.6,45.0,22.5,6.9,4.0,13.8,22.1,107.0,2018-19
295,Miami Heat,82,240.6,39.6,88.0,.450,11.3,32.4,.349,28.3,55.6,.509,15.1,21.7,.695,11.2,35.1,46.3,24.3,7.6,5.5,14.7,20.9,105.7,2018-19
296,Chicago Bulls,82,242.7,39.8,87.9,.453,9.1,25.9,.351,30.7,62.0,.496,16.2,20.7,.783,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,104.9,2018-19
297,New York Knicks,82,241.2,38.2,88.3,.433,10.0,29.5,.340,28.2,58.8,.479,18.1,23.9,.759,10.5,34.3,44.7,20.1,6.8,5.1,14.0,20.9,104.6,2018-19
298,Cleveland Cavaliers,82,240.9,38.9,87.6,.444,10.3,29.1,.355,28.6,58.5,.488,16.4,20.7,.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20.0,104.5,2018-19
299,Memphis Grizzlies,82,242.4,38.0,84.4,.450,9.9,28.9,.342,28.1,55.6,.505,17.7,23.0,.772,8.8,33.0,41.8,23.9,8.3,5.5,14.0,22.0,103.5,2018-19
300,Milwaukee Bucks,73,241.0,43.3,90.9,.476,13.8,38.9,.355,29.5,52.0,.567,18.3,24.7,.742,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7,2019-20
301,Houston Rockets,72,241.4,40.8,90.4,.451,15.6,45.3,.345,25.1,45.2,.557,20.6,26.1,.791,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8,2019-20
302,Dallas Mavericks,75,242.3,41.7,90.3,.461,15.1,41.3,.367,26.5,49.0,.541,18.6,23.8,.779,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117.0,2019-20
303,Los Angeles Clippers,72,241.4,41.6,89.2,.466,12.4,33.5,.371,29.1,55.8,.522,20.8,26.3,.791,10.7,37.0,47.7,23.7,7.1,4.7,14.6,22.1,116.3,2019-20
304,New Orleans Pelicans,72,242.1,42.6,91.6,.465,13.6,36.9,.370,28.9,54.8,.528,17.1,23.4,.729,11.1,35.4,46.5,26.8,7.5,5.0,16.4,21.2,115.8,2019-20
305,Portland Trail Blazers,74,241.0,42.2,91.2,.463,12.9,34.1,.377,29.3,57.1,.514,17.7,22.1,.804,10.2,35.1,45.3,20.6,6.3,6.1,12.8,21.7,115.0,2019-20
306,Washington Wizards,72,241.0,41.5,90.9,.457,12.0,32.6,.368,29.5,58.3,.506,19.4,24.6,.788,10.2,31.9,42.0,25.0,8.0,4.3,14.2,22.7,114.4,2019-20
307,San Antonio Spurs,71,242.5,42.2,89.4,.472,10.7,28.5,.376,31.5,61.0,.516,19.0,23.4,.810,9.0,35.6,44.6,24.7,7.3,5.5,12.6,19.4,114.1,2019-20
308,Boston Celtics,72,242.1,41.3,89.6,.461,12.6,34.5,.364,28.7,55.0,.522,18.6,23.2,.801,10.7,35.4,46.1,23.0,8.3,5.6,13.8,21.6,113.7,2019-20
309,Phoenix Suns,73,241.0,41.2,88.1,.468,11.4,31.8,.358,29.8,56.3,.529,19.9,23.8,.834,9.8,33.8,43.5,27.2,7.7,4.0,14.8,22.0,113.6,2019-20
310,Los Angeles Lakers,71,240.7,42.3,88.3,.480,11.0,31.6,.349,31.3,56.7,.552,17.7,24.3,.729,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4,2019-20
311,Minnesota Timberwolves,64,243.1,40.4,91.6,.441,13.3,39.7,.336,27.1,52.0,.521,19.1,25.4,.753,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3,2019-20
312,Toronto Raptors,72,241.4,40.2,87.9,.458,13.8,37.0,.374,26.4,50.9,.519,18.5,23.2,.796,9.5,35.9,45.4,25.2,8.8,5.0,14.8,21.7,112.8,2019-20
313,Memphis Grizzlies,73,240.7,42.5,90.9,.468,10.9,31.5,.347,31.6,59.4,.532,16.6,21.8,.763,10.3,36.2,46.5,26.9,7.9,5.5,15.2,21.2,112.6,2019-20
314,Miami Heat,73,243.1,39.5,84.4,.468,13.4,35.4,.379,26.0,49.0,.532,19.7,25.2,.783,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112.0,2019-20
315,Atlanta Hawks,67,243.0,40.6,90.6,.449,12.0,36.1,.333,28.6,54.5,.525,18.5,23.4,.790,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,111.8,2019-20
316,Brooklyn Nets,72,242.8,40.4,90.3,.448,13.1,38.1,.343,27.3,52.1,.524,17.9,24.1,.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8,2019-20
317,Denver Nuggets,73,243.1,42.0,88.9,.473,11.0,30.6,.359,31.1,58.3,.533,16.2,20.9,.777,10.8,33.4,44.1,26.7,8.0,4.6,13.8,20.3,111.3,2019-20
318,Utah Jazz,72,241.0,40.1,85.1,.471,13.4,35.2,.380,26.7,49.9,.535,17.8,22.8,.779,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3,2019-20
319,Philadelphia 76ers,73,241.0,41.1,87.9,.468,11.6,31.6,.368,29.5,56.3,.524,16.9,22.4,.755,10.5,35.0,45.4,25.8,8.0,5.3,14.2,20.9,110.7,2019-20
320,Oklahoma City Thunder,72,242.1,40.0,85.5,.468,10.7,30.2,.355,29.3,55.3,.529,19.8,24.8,.796,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4,2019-20
321,Sacramento Kings,72,242.4,40.9,88.4,.462,12.7,34.9,.364,28.2,53.5,.527,15.7,20.3,.770,9.7,32.9,42.6,23.8,7.7,4.1,14.5,22.2,110.1,2019-20
322,Indiana Pacers,73,241.4,42.1,88.5,.476,10.2,28.0,.363,31.9,60.4,.529,15.0,19.1,.787,8.7,34.1,42.8,25.9,7.4,5.2,13.2,19.8,109.4,2019-20
323,Orlando Magic,73,240.7,39.3,88.6,.444,11.1,32.2,.343,28.3,56.4,.502,17.6,22.7,.774,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3,2019-20
324,Detroit Pistons,66,241.9,39.3,85.7,.459,12.0,32.7,.367,27.3,53.0,.515,16.6,22.4,.743,9.8,32.0,41.7,24.1,7.4,4.5,15.3,19.7,107.2,2019-20
325,Cleveland Cavaliers,65,241.9,40.3,87.9,.458,11.2,31.8,.351,29.1,56.1,.519,15.1,19.9,.758,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9,2019-20
326,Chicago Bulls,65,241.2,39.6,88.6,.447,12.2,35.1,.348,27.4,53.5,.511,15.5,20.5,.755,10.5,31.4,41.9,23.2,10.0,4.1,15.5,21.8,106.8,2019-20
327,Golden State Warriors,65,241.9,38.6,88.2,.438,10.4,31.3,.334,28.2,56.9,.495,18.7,23.2,.803,10.0,32.9,42.8,25.6,8.2,4.6,14.9,20.1,106.3,2019-20
328,New York Knicks,66,241.9,40.0,89.3,.447,9.6,28.4,.337,30.4,61.0,.499,16.3,23.5,.694,12.0,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8,2019-20
329,Charlotte Hornets,65,242.3,37.3,85.9,.434,12.1,34.3,.352,25.2,51.6,.489,16.2,21.6,.748,11.0,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9,2019-20
330,Milwaukee Bucks,72,240.7,44.7,91.8,.487,14.4,37.1,.389,30.3,54.7,.554,16.2,21.4,.760,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1,2020-21
331,Brooklyn Nets,72,241.7,43.1,87.3,.494,14.2,36.1,.392,29.0,51.2,.565,18.1,22.5,.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6,2020-21
332,Washington Wizards,72,241.7,43.2,90.9,.475,10.2,29.0,.351,33.0,61.9,.533,20.1,26.2,.769,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6,2020-21
333,Utah Jazz,72,241.0,41.3,88.1,.468,16.7,43.0,.389,24.5,45.1,.544,17.2,21.5,.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4,2020-21
334,Portland Trail Blazers,72,240.3,41.3,91.1,.453,15.7,40.8,.385,25.6,50.3,.509,17.8,21.6,.823,10.6,33.9,44.5,21.3,6.9,5.0,11.1,18.9,116.1,2020-21
335,Phoenix Suns,72,242.8,43.3,88.3,.490,13.1,34.6,.378,30.3,53.7,.563,15.6,18.7,.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3,2020-21
336,Indiana Pacers,72,242.4,43.3,91.2,.474,12.3,34.0,.364,30.9,57.3,.540,16.4,20.7,.792,9.0,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3,2020-21
337,Denver Nuggets,72,242.8,43.3,89.2,.485,12.9,34.2,.377,30.4,55.0,.552,15.7,19.5,.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1,2020-21
338,New Orleans Pelicans,72,242.1,42.5,89.1,.477,10.6,30.4,.348,31.9,58.6,.544,19.0,26.1,.729,11.7,35.7,47.4,26.0,7.6,4.4,14.6,18.0,114.6,2020-21
339,Los Angeles Clippers,72,240.0,41.8,86.7,.482,14.3,34.7,.411,27.5,52.0,.529,16.2,19.3,.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114.0,2020-21
340,Atlanta Hawks,72,241.7,40.8,87.2,.468,12.4,33.4,.373,28.4,53.9,.526,19.7,24.2,.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7,2020-21
341,Sacramento Kings,72,240.3,42.6,88.6,.481,12.1,33.3,.364,30.5,55.3,.551,16.4,22.0,.745,9.4,32.0,41.4,25.5,7.5,5.0,13.4,19.4,113.7,2020-21
342,Golden State Warriors,72,240.3,41.3,88.2,.468,14.6,38.7,.376,26.7,49.4,.541,16.6,21.1,.785,8.0,35.1,43.0,27.7,8.2,4.8,15.0,21.2,113.7,2020-21
343,Philadelphia 76ers,72,242.1,41.4,86.9,.476,11.3,30.1,.374,30.1,56.8,.531,19.6,25.5,.767,10.0,35.0,45.1,23.7,9.1,6.2,14.4,20.2,113.6,2020-21
344,Memphis Grizzlies,72,241.7,42.8,91.8,.467,11.2,31.4,.356,31.7,60.4,.525,16.4,21.3,.771,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3,2020-21
345,Boston Celtics,72,241.4,41.5,88.9,.466,13.6,36.4,.374,27.9,52.5,.530,16.1,20.8,.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6,2020-21
346,Dallas Mavericks,72,240.3,41.1,87.3,.470,13.8,38.1,.362,27.3,49.2,.554,16.5,21.2,.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,2020-21
347,Minnesota Timberwolves,72,241.7,40.7,90.9,.448,13.1,37.6,.349,27.6,53.3,.518,17.6,23.1,.761,10.5,33.0,43.5,25.6,8.8,5.5,14.3,20.9,112.1,2020-21
348,Toronto Raptors,72,240.3,39.7,88.7,.448,14.5,39.3,.368,25.3,49.3,.512,17.4,21.3,.815,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3,2020-21
349,San Antonio Spurs,72,242.8,41.9,90.5,.462,9.9,28.4,.350,31.9,62.1,.514,17.4,22.0,.792,9.3,34.6,43.9,24.4,7.0,5.1,11.4,18.0,111.1,2020-21
350,Chicago Bulls,72,241.4,42.2,88.6,.476,12.6,34.0,.370,29.6,54.6,.542,13.8,17.5,.791,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7,2020-21
351,Los Angeles Lakers,72,242.4,40.6,86.1,.472,11.1,31.2,.354,29.6,54.8,.539,17.2,23.3,.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5,2020-21
352,Charlotte Hornets,72,241.0,39.9,87.8,.455,13.7,37.0,.369,26.3,50.8,.517,15.9,20.9,.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,109.5,2020-21
353,Houston Rockets,72,240.3,39.3,88.5,.444,13.8,40.6,.339,25.5,47.9,.532,16.5,22.3,.740,9.3,33.3,42.6,23.6,7.6,5.0,14.7,19.5,108.8,2020-21
354,Miami Heat,72,241.4,39.2,83.7,.468,12.9,36.2,.358,26.3,47.5,.553,16.7,21.1,.790,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,108.1,2020-21
355,New York Knicks,72,242.1,39.4,86.5,.456,11.8,30.0,.392,27.7,56.4,.490,16.4,20.9,.784,9.7,35.5,45.1,21.4,7.0,5.1,12.9,20.5,107.0,2020-21
356,Detroit Pistons,72,242.1,38.7,85.6,.452,11.6,32.9,.351,27.1,52.7,.515,17.8,23.4,.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6,2020-21
357,Oklahoma City Thunder,72,241.0,38.8,88.0,.441,11.9,35.1,.339,26.9,52.9,.509,15.5,21.3,.725,9.9,35.7,45.6,22.1,7.0,4.4,16.1,18.1,105.0,2020-21
358,Orlando Magic,72,240.7,38.3,89.2,.429,10.9,31.8,.343,27.4,57.4,.476,16.6,21.4,.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104.0,2020-21
359,Cleveland Cavaliers,72,242.1,38.6,85.8,.450,10.0,29.7,.336,28.6,56.0,.510,16.7,22.4,.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8,2020-21
